topic,time_ns
Lotus,7552708
Baseline,1924750
Lotus,8044042
Baseline,2380792
Lotus,7908792
Baseline,2105791
Lotus,7123500
Baseline,1558666
Lotus,7493125
Baseline,1691209
Lotus,6790709
Baseline,2023500
Lotus,8212584
Baseline,2589584
Lotus,7611334
Baseline,1848333
Lotus,8034375
Baseline,1882292
Lotus,6602500
Baseline,3320250
Lotus,8682500
Baseline,1880500
Lotus,6494583
Baseline,2900334
Lotus,9485334
Baseline,1843541
Lotus,7341666
Baseline,2788917
Lotus,10631709
Baseline,2057041
Lotus,7568291
Baseline,2595958
Lotus,8800541
Baseline,1792959
Lotus,6339917
Baseline,2497750
Lotus,8234083
Baseline,2466875
Lotus,7288750
Baseline,2053083
Lotus,7181833
Baseline,2044958
Lotus,7618458
Baseline,2152375
Lotus,9070458
Baseline,4065667
Lotus,9514750
Baseline,1513041
Lotus,9140000
Baseline,2569500
Lotus,7020791
Baseline,2690416
Lotus,9132875
Baseline,2124375
Lotus,7798459
Baseline,1709917
Lotus,6827125
Baseline,1812208
Lotus,6365167
Baseline,2157834
Lotus,8805750
Baseline,2426791
Lotus,7467625
Baseline,1613291
Lotus,6894916
Baseline,1594667
Lotus,5925833
Baseline,2352333
Lotus,7817458
Baseline,1760250
Lotus,5963625
Baseline,2516875
Lotus,8475875
Baseline,2562375
Lotus,10303334
Baseline,3802625
Lotus,10366125
Baseline,1991375
Lotus,6618292
Baseline,3371500
Lotus,9722958
Baseline,1507542
Lotus,5993500
Baseline,952250
Lotus,6022500
Baseline,1048916
Lotus,5488875
Baseline,1236500
Lotus,7283459
Baseline,1357542
Lotus,7062750
Baseline,1369208
