topic,time_ns
Baseline,1994917
Lotus,8234084
Baseline,1773041
Lotus,7123875
Baseline,1541750
Lotus,6669875
Baseline,1710042
Lotus,6436292
Baseline,1320708
Lotus,7193833
Baseline,2213083
Lotus,7525875
Baseline,2942375
Lotus,8130834
Baseline,2085417
Lotus,11712834
Baseline,2144416
Lotus,8637375
Baseline,1905500
Lotus,7489000
Baseline,1585458
Lotus,6959375
Baseline,2075750
Lotus,7123042
Baseline,1450709
Lotus,7220375
Baseline,1528417
Lotus,7141542
Baseline,1763917
Lotus,7548459
Baseline,1950333
Lotus,7068958
Baseline,2500416
Lotus,9566208
Baseline,1536250
Lotus,6505000
Baseline,1555459
Lotus,6369584
Baseline,1772041
Lotus,6297833
Baseline,1524417
Lotus,6182958
Baseline,1701917
Lotus,6623417
Baseline,2882208
Lotus,10286833
Baseline,1816542
Lotus,6990333
Baseline,1472667
Lotus,10454750
Baseline,1275166
Lotus,5733833
Baseline,2138666
Lotus,6898208
Baseline,1593583
Lotus,6367542
Baseline,950375
Lotus,4607834
Baseline,1031208
Lotus,8333750
Baseline,1332750
Lotus,14098833
Baseline,1495958
Lotus,7977166
Baseline,1341750
Lotus,7028250
Baseline,2587333
Lotus,9898208
Baseline,2109958
Lotus,9828125
Baseline,1778167
Lotus,6668709
Baseline,1452458
Lotus,5850333
Baseline,990166
Lotus,5553791
Baseline,1309375
Lotus,7406542
Baseline,1796958
Lotus,6276000
Baseline,2839500
Lotus,9069125
Baseline,1290250
Lotus,6428875
Baseline,1441875
Lotus,6724458
Baseline,1583584
Lotus,16356459
Baseline,3001583
Lotus,12002250
Baseline,1820709
Lotus,8254709
Baseline,1552041
Lotus,6312708
Baseline,2084042
Lotus,7300083
Baseline,2531292
Lotus,9391667
Baseline,1502792
Lotus,6660042
Baseline,1739125
Lotus,7288500
Baseline,2072708
Lotus,7546917
Baseline,2716667
Lotus,8335084
Baseline,1669250
Lotus,8112834
Baseline,2222375
Lotus,7329459
